scenario,month,Solar PV,Wind,Conventional Hydro,Combined Cycle,Cogeneration,Nuclear,Battery,Pumped Hydro,Other Renewable,Other Non-Renewable
nuclear,Jan,3.914190774645757,14.111475413339017,3.75639843765678,4.081882764704099,0.6393656184567456,7.0287626047619005,0.704637166867563,0.5782151105491964,2.7781343606559643,0.26459775310457667
nuclear,Feb,5.362525133370308,12.293252960675543,3.328987365437945,3.6573508883166133,0.6393516555399159,6.968494366547615,0.7344970418057766,0.6640344637423446,2.779989964912168,0.2530742012583558
nuclear,Mar,6.019634306535794,12.88306972916926,3.248647791195347,2.197370732060507,0.6390623686468229,6.62443755190476,0.8610237733922445,0.7976061484655069,2.265828919766316,0.22237535335887637
nuclear,Apr,7.8096202866835185,9.806509508893226,2.6172565282670277,1.7363344547092583,0.6386866160035064,6.297185651488094,0.8633375429209708,0.8898126934556174,2.1740630498216422,0.19152489530709305
nuclear,May,9.74371127516558,9.58151515864173,2.114556242717108,1.6787721357379768,0.6382784572906273,5.344349252738096,0.8684858122799402,1.0331568613364606,2.3686886975439068,0.19681741079077764
nuclear,Jun,10.494518786673677,8.18570955198781,1.7935810022226741,3.061361532832979,0.6379543677333704,5.608298586904761,0.691088708498697,1.1861578906702999,2.9901623476918706,0.24266457365883654
nuclear,Jul,11.735826758345818,9.359037903329774,1.5655226783471128,3.445075814667772,0.6378252959432873,7.0773052716071385,0.6357117476998554,1.119221614453033,3.0414090715239976,0.2561004353835805
nuclear,Aug,11.137608660298506,8.368889549194598,1.5490724158621616,3.383876270338239,0.6376693871072244,7.077339179404758,0.6657789940883296,1.3205819684983282,2.585000087876111,0.275222916428575
nuclear,Sep,8.897209306749176,8.811442741582228,1.5508769200006078,4.442053127406573,0.6375506724546235,6.973133815297615,0.5874347518418391,1.0649097573002209,2.232339934300507,0.2930604601693557
nuclear,Oct,7.409568182053132,11.550013870346996,1.619953303405972,6.419148064724546,0.6384314600709238,1.5924806027678573,0.5274065915663388,0.9656768109062676,2.1125332652584143,0.304455815795148
nuclear,Nov,5.529213922422765,13.890282669340827,2.2728410721988186,6.396856954534077,0.6373279638326421,1.5216802915624996,0.49553085048500417,0.6820101123543857,2.3426938655684926,0.2972939349693646
nuclear,Dec,4.298560861436409,15.031859984482502,3.0453287225732115,6.98633373255364,0.6469982125042647,1.623263096160714,0.5441085807153112,0.640691537032635,2.904974035301306,0.293925956475764
optimistic,Jan,4.202996634867763,14.538971159819377,3.7430526697246576,6.028742875478624,0.6398275360203828,3.5009222203261823,1.0920110249947224,0.33685550886680876,3.057401307275149,0.296303722429203
optimistic,Feb,5.745538190977337,13.02603364367797,3.2928309277548773,5.356456643042731,0.6395281660010322,3.4733369323487424,1.206077444665507,0.42716401765531925,3.135068927511377,0.28030454240294145
optimistic,Mar,6.546650989548336,13.85349051589221,3.2404148795014316,3.2733745176873636,0.6391071297035075,3.2958198843536715,1.595298523525072,0.6533353436137977,2.6994746860878602,0.25760154135737745
optimistic,Apr,8.505765397212617,10.755987604160893,2.608927860548155,2.3554213465683684,0.6386757240011821,3.1421283518307583,1.6902200542927723,0.8541331343966847,2.735305450865985,0.22643518356888148
optimistic,May,10.539731857602339,10.480317769209496,2.1149520847432033,2.1786723017131093,0.6382770906587714,2.657496583921702,1.876846820986066,0.9869514760309972,2.9841161592037118,0.2251882737507913
optimistic,Jun,10.900751261146985,8.715238309674893,1.790772723553392,4.258743111775241,0.6379978746094531,2.8034875611303574,1.4341152267600772,0.908458819186664,3.5072783209564093,0.27123913333477223
optimistic,Jul,12.145901388472026,9.91051141054324,1.557338533662257,5.139996634841111,0.6377882756413095,3.5254745480374194,1.2512800219427953,0.8294631514841551,3.656149373115312,0.2881183546849323
optimistic,Aug,11.585321808034008,8.915513479740191,1.5375271713761736,4.9476338646616025,0.6376248351640337,3.5257792983906024,1.400469176601442,1.007582200682259,3.0966590218979997,0.3028447251282702
optimistic,Sep,9.216952082395142,9.269477370122548,1.5532652258271462,6.451545606683864,0.6374971830424792,3.4760895223311308,1.154810003303839,0.7344107453814729,2.556000297679671,0.3083246338440899
